name,cas_number,category,ifra_ncs,description
Cis-3-Hexenyl benzoate,25152-85-6,Synthetic,,Green balsamic floral note
Trans-3-Hexenyl acetate,4226-23-5,Synthetic,,Green fruity note
Leaf alcohol,928-96-1,Synthetic,,Green fresh grassy note
Leaf aldehyde,6789-80-6,Synthetic,,Intensely green leafy note
Leaf acetate,3681-71-8,Synthetic,,Green fruity banana note
Verdox,32388-55-9,Synthetic,,Intensely green leafy note
Florhydral,125109-85-5,Synthetic,,Watery green leafy note
Ligustral,68039-49-6,Synthetic,,Green aldehydic leafy note
Melonal,106-72-9,Synthetic,,Green melon watery note
Verdyl acetate,5205-11-4,Synthetic,,Green leafy cucumber note
Stemone,3154-26-3,Synthetic,,Green violet leafy note
Violettyne,81786-73-4,Synthetic,,Green metallic violet note
Methyl heptine carbonate,111-12-6,Synthetic,,Green metallic mushroom note
Allyl amyl glycolate,67634-00-8,Synthetic,,Fruity green pineapple note
Allyl caproate,123-68-2,Synthetic,,Fruity pineapple tropical note
Allyl cyclohexylpropionate,2705-87-5,Synthetic,,Fruity pineapple strong note
Allyl heptanoate,142-19-8,Synthetic,,Fruity pineapple green note
Allyl phenoxyacetate,7493-74-5,Synthetic,,Fruity honey anise note
Ethyl 2-methylbutyrate,7452-79-1,Synthetic,,Fruity apple green note
Ethyl butyrate,105-54-4,Synthetic,,Fruity pineapple ethereal note
Ethyl caproate,123-66-0,Synthetic,,Fruity apple wine note
Ethyl heptanoate,106-30-9,Synthetic,,Fruity wine cognac note
Ethyl octanoate,106-32-1,Synthetic,,Fruity wine pineapple note
Ethyl nonanoate,123-29-5,Synthetic,,Fruity wine cognac note
Ethyl decanoate,110-38-3,Synthetic,,Fruity grape wine note
Ethyl laurate,106-33-2,Synthetic,,Fatty waxy fruity note
Isoamyl acetate,123-92-2,Synthetic,,Banana pear fruity note
Isoamyl butyrate,106-27-4,Synthetic,,Fruity pear apricot note
Isoamyl isovalerate,659-70-1,Synthetic,,Fruity apple sweet note
Isobutyl acetate,110-19-0,Synthetic,,Fruity apple sweet note
Isobutyl butyrate,539-90-2,Synthetic,,Fruity pineapple sweet note
Hexyl acetate,142-92-7,Synthetic,,Fruity apple pear note
Hexyl butyrate,2639-63-6,Synthetic,,Fruity green apple note
Hexyl caproate,6378-65-0,Synthetic,,Fruity wine herbal note
Butyl acetate,123-86-4,Synthetic,,Fruity apple banana note
Butyl butyrate,109-21-7,Synthetic,,Fruity pineapple sweet note
Propyl acetate,109-60-4,Synthetic,,Fruity pear solvent note
Methyl anthranilate,134-20-3,Synthetic,,Fruity grape sweet note
Methyl benzoate,93-58-3,Synthetic,,Fruity prune phenolic note
Methyl phenylacetate,101-41-7,Synthetic,,Honey floral sweet note
Phenylethyl isobutyrate,103-48-0,Synthetic,,Rosy fruity honey note
Phenylethyl phenylacetate,102-20-5,Synthetic,,Honey rosy balsamic note
Geranyl butyrate,106-29-6,Synthetic,,Fruity rosy green note
Citronellyl butyrate,141-16-2,Synthetic,,Fruity rosy fresh note
Linalyl butyrate,78-36-4,Synthetic,,Fruity floral bergamot note
Terpinyl butyrate,2153-28-8,Synthetic,,Fruity herbal lavender note
Ethyl acetoacetate,141-97-9,Synthetic,,Fruity rum brandy note
Ethyl levulinate,539-88-8,Synthetic,,Fruity caramel sweet note
Ethyl lactate,97-64-3,Synthetic,,Fruity ethereal rum note
Gamma-Decalactone,706-14-9,Synthetic,,Fruity peachy creamy note
Delta-Decalactone,705-86-2,Synthetic,,Fruity coconut creamy note
Gamma-Undecalactone,104-67-6,Synthetic,,Fruity peachy apricot note
Gamma-Nonalactone,104-61-0,Synthetic,,Fruity coconut creamy note
Delta-Nonalactone,3301-94-8,Synthetic,,Creamy coconut milky note
Jasmine lactone,6261-22-9,Synthetic,,Creamy milky fruity note
Massoia lactone,5637-97-8,Synthetic,,Coconut creamy tropical note
Manzanate,32388-55-9,Synthetic,,Fruity apple fresh note
Frambinone,2236-60-4,Synthetic,,Fruity raspberry sweet note
Damascone alpha,43052-87-5,Synthetic,,Fruity floral apple note
Damascone beta,23726-91-2,Synthetic,,Fruity rose plum note
Damascenone,23726-93-4,Synthetic,,Fruity rose plum powerful note
Beta-Ionone epoxide,23267-57-4,Synthetic,,Fruity floral woody note
Irone,79-69-6,Synthetic,,Violet iris woody note
Methyl ionone gamma,127-51-5,Synthetic,,Violet iris woody note
Alpha-Isomethyl ionone,127-51-5,Synthetic,,Violet floral woody powdery note
Iso gamma super,127-51-5,Synthetic,,Violet iris woody refined note
Isoraldeine,68991-99-1,Synthetic,,Violet woody iris note
Ambrofix,6790-58-5,Synthetic,,Amber marine woody note
Ambercore,201943-63-7,Synthetic,,Amber woody sweet note
Cetalox Laevo,28219-61-6,Synthetic,,Amber marine woody note
Amber Xtreme,60763-39-5,Synthetic,,Amber woody animalic note
Timbersilk,65443-14-3,Synthetic,,Woody amber patchouli note
Okoumal,1205-17-0,Synthetic,,Watery marine ozone note
Verdyl propionate,55066-48-3,Synthetic,,Green leafy cucumber note
Floralozone,67634-15-5,Synthetic,,Marine green ozone note
Agrumex,68084-03-7,Synthetic,,Citrus fresh grapefruit note
Koavone,54464-57-2,Synthetic,,Woody vetiver earthy note
Ambrocenide,790-78-5,Synthetic,,Musky amber woody note
Amberlyn,13171-00-1,Synthetic,,Amber sweet balsamic note
Ambrostar,201943-63-7,Synthetic,,Amber woody refined note
Aurantiol,7786-44-9,Synthetic,,Fresh citrus metallic note
Calone 1951,28940-11-6,Synthetic,,Marine watermelon ozone note
Serenolide,4707-69-9,Synthetic,,Musk floral sweet macrocyclic note
Helvetolide forte,167482-67-7,Synthetic,,Musk fruity lactonic powerful note
Muscenone,541-91-3,Synthetic,,Musk animalic woody note
Nirvanolide,103694-68-4,Synthetic,,Musk woody amber note
Phantolide,15323-35-0,Synthetic,,Musk clean laundry note
Versalide,88-29-9,Synthetic,,Musk clean fresh note
Fixolide,1506-02-1,Synthetic,,Musk clean powdery note
Traseolide,68140-48-7,Synthetic,,Musk clean soft note
Celestolide,13171-21-6,Synthetic,,Musk clean laundry note
Musk 89,81-15-2,Synthetic,,Musk clean powdery note
Musk R1,116-66-5,Synthetic,,Musk clean sweet note
Musk T,1506-02-1,Synthetic,,Musk clean laundry note
Musk xylol,81-15-2,Synthetic,,Musk clean powdery note
Habanolide natural,6259-76-3,Synthetic,,Musk fruity peach lactonic note
Cyclohexadecenone,3100-36-5,Synthetic,,Musk animalic sweet macrocyclic note
Exaltone,502-72-7,Synthetic,,Musk powdery animalic macrocyclic note
Ambrettolide natural,7779-50-2,Synthetic,,Musk floral sweet macrocyclic note
Ethylene glycol diacetate,111-55-7,Synthetic,,Musk fruity sweet note
Musk ketone natural,81-14-1,Synthetic,,Musk clean sweet nitro note
Muscone natural,541-91-3,Synthetic,,Musk animalic woody natural note
Civetone,542-46-1,Synthetic,,Musk animalic fecal macrocyclic note
Ambrette seed tincture,8015-62-1,Natural,L2.10,Musk floral sweet seed note
Musk seed oil,8015-62-1,Natural,L2.10,Musk floral sweet seed note
Ambrette ketone,7011-83-8,Synthetic,,Musk floral sweet note
Ambroxide,6790-58-5,Synthetic,,Amber woody marine note
Norlimbanol,39668-76-5,Synthetic,,Woody amber sandalwood note
Sandalore,65113-99-7,Synthetic,,Woody sandalwood creamy note
Javanol,169054-68-8,Synthetic,,Woody sandalwood creamy refined note
Bacdanol,148-53-8,Synthetic,,Woody sandalwood creamy note
Ebanol,169054-69-9,Synthetic,,Woody sandalwood creamy note
Osyrol,106-24-1,Synthetic,,Woody sandalwood rosy note
Polysantol,94201-73-7,Synthetic,,Woody sandalwood creamy note
Santalex,3830-87-9,Synthetic,,Woody sandalwood dry note
Sandela,106-24-1,Synthetic,,Woody sandalwood creamy rosy note
Firsantol,65113-99-7,Synthetic,,Woody sandalwood fir-like note
Sandranol,144027-90-9,Synthetic,,Woody sandalwood creamy note
Ebanol acetate,201943-63-7,Synthetic,,Woody sandalwood refined note
Methyl cedryl ketone,32388-55-9,Synthetic,,Woody cedarwood violet note
Georgywood,204464-28-6,Synthetic,,Woody amber patchouli note
Kephalis,72845-17-5,Synthetic,,Woody tobacco amber note
Clearwood,94333-88-9,Synthetic,,Woody patchouli clean refined note
Akigalawood,94201-73-7,Synthetic,,Woody patchouli amber modern note
Orcanox,67-63-0,Synthetic,,Woody patchouli earthy note
Patchouli alcohol natural,5986-55-0,Natural,I2.17,Woody earthy sweet patchouli note
Patchouli acetate,50-28-2,Synthetic,,Woody earthy refined patchouli note
Iso patchouli,560-32-7,Synthetic,,Woody earthy herbaceous note
Patchoulol synthetic,5986-55-0,Synthetic,,Woody earthy sweet refined note
Patchouli ethanone,54464-57-2,Synthetic,,Woody earthy modern patchouli note
Karanal,68991-97-9,Synthetic,,Woody amber metallic note
Sylvamber,94266-48-5,Synthetic,,Woody amber sweet note
Amberwood,13171-00-1,Synthetic,,Woody amber balsamic note
Ambertonic,68991-97-9,Synthetic,,Woody amber fresh note
Lignofix,65113-99-7,Synthetic,,Woody amber dry note
Ambermor,117-81-7,Synthetic,,Woody amber sweet note
Norlimbanol forte,68845-36-3,Synthetic,,Woody amber sandalwood powerful note
Cashmeran forte,33704-61-9,Synthetic,,Woody musky spicy refined note
Cedramber,94201-73-7,Synthetic,,Woody amber cedarwood note
Veramoss,3687-46-5,Synthetic,,Woody amber oakmoss-like note
Vertocitral,94333-88-9,Synthetic,,Woody amber citrus fresh note
Ambermax,201943-63-7,Synthetic,,Woody amber powerful note
Amberonne,201943-63-7,Synthetic,,Woody amber sweet note
Cedramber,94201-73-7,Synthetic,,Woody amber cedarwood modern note
Vetiverol acetate natural,117-98-6,Natural,I2.17,Woody earthy refined vetiver note
Vetiverol acetate synthetic,117-98-6,Synthetic,,Woody earthy refined vetiver note
Acetyl cedrene,32388-55-9,Synthetic,,Woody cedarwood sweet note
Cedrenol,28231-03-0,Synthetic,,Woody cedarwood dry note
Cedryl methyl ether,19870-74-7,Synthetic,,Woody cedarwood amber note
Cedroxyde,203689-07-8,Synthetic,,Woody cedarwood modern refined note
Caryophyllene oxide,1139-30-6,Natural,E2.15,Woody spicy dry note
Myrtenyl acetate,1079-01-2,Natural,K2.15,Fresh pine herbal note
Fenchyl alcohol,1632-73-1,Natural,J2.17,Camphoraceous herbal fresh note
Isobornyl cyclohexanol,53488-14-5,Synthetic,,Woody camphoraceous note
Borneol,507-70-0,Natural,K2.15,Camphoraceous woody fresh note
Isoborneol,124-76-5,Natural,K2.15,Camphoraceous woody note
Fenchone,1195-79-5,Natural,E2.15,Camphoraceous herbal note
Camphene,79-92-5,Natural,K2.15,Woody camphoraceous fresh note
Tricyclene,508-32-7,Natural,K2.15,Woody fresh pine-like note
Sabinene,3387-41-5,Natural,K2.15,Woody spicy black pepper note
Delta-3-Carene,13466-78-9,Natural,K2.15,Woody sweet citrus note
Terpinolene,586-62-9,Natural,K2.15,Woody fresh pine-like note
Alpha-Terpinene,99-86-5,Natural,K2.15,Woody fresh citrus note
Gamma-Terpinene,99-85-4,Natural,K2.15,Woody fresh citrus note
Ocimene,13877-91-3,Natural,J2.17,Fresh herbal sweet note
Myrcene,123-35-3,Natural,K2.15,Fresh balsamic herbal note
Allyl octanoate,4230-97-1,Synthetic,,Fruity pineapple tropical note
Ethyl pelargonate,123-29-5,Synthetic,,Fruity wine cognac note
Geranyl formate,105-86-2,Synthetic,,Fresh rosy citrus note
Citronellyl formate,105-85-1,Synthetic,,Fresh rosy citrus note
Dimethyl benzyl carbinol,100-86-7,Synthetic,,Fresh citrus aldehydic note
Dimethyl benzyl carbinyl acetate,151-05-3,Synthetic,,Fruity floral bergamot note
Styrallyl acetate,93-92-5,Synthetic,,Floral spicy gardenia note
Alpha-Amyl cinnamic aldehyde,122-40-7,Synthetic,,Floral jasmine aldehydic note
Hexyl cinnamic aldehyde,101-86-0,Synthetic,,Floral jasmine powerful note
Amyl salicylate,2050-08-0,Synthetic,,Floral sweet orchid note
Cinnamic alcohol,104-54-1,Synthetic,,Balsamic sweet cinnamon note
Eugenyl acetate,93-28-7,Synthetic,,Spicy clove sweet note
Methyl diantilis,120-45-6,Synthetic,,Sweet creamy anise note
Aldehyde MNA,110-41-8,Synthetic,,Aldehydic fatty waxy note
Aldehyde C-7,111-71-7,Synthetic,,Fresh fatty green note
Aldehyde C-8 decylic,124-13-0,Synthetic,,Citrus fatty orange note
Aldehyde C-11 undecalenic,112-45-8,Synthetic,,Fatty aldehydic citrus note
Aldehyde C-12 MNA,110-41-8,Synthetic,,Aldehydic fatty waxy powerful note
Para-cresyl acetate,140-39-6,Synthetic,,Phenolic herbal medicinal note
Para-cresyl methyl ether,104-93-8,Synthetic,,Phenolic anise-like note
Para-cresol,106-44-5,Synthetic,,Phenolic leather animalic note
Ortho-cresol,95-48-7,Synthetic,,Phenolic medicinal smoky note
Meta-cresol,108-39-4,Synthetic,,Phenolic medicinal leathery note
Guaiacol,90-05-1,Synthetic,,Smoky phenolic woody note
Eugenol methyl ether,93-15-2,Natural,E2.15,Spicy clove sweet note
Vanillin acetate,881-68-5,Synthetic,,Sweet vanilla balsamic note
Ethyl vanillin acetate,Proprietary,Synthetic,,Sweet vanilla powerful note
Zingerone,122-48-5,Synthetic,,Spicy ginger vanilla note
Raspberry ketone natural,5471-51-2,Natural,A2.20,Fruity raspberry sweet note
Anisyl acetate,104-21-2,Synthetic,,Sweet anise floral note
Anisyl alcohol,105-13-5,Synthetic,,Sweet floral balsamic note
Anisyl formate,122-91-8,Synthetic,,Floral sweet anise note
Para-anisaldehyde,123-11-5,Synthetic,,Sweet anise hawthorn note
Anisole,100-66-3,Synthetic,,Sweet anise herbal note
Hydrotropic aldehyde,93-53-8,Synthetic,,Floral herbal sweet note
Acetophenone,98-86-2,Synthetic,,Floral mimosa almond note
Para-methyl acetophenone,122-00-9,Synthetic,,Floral herbal sweet note
Propiophenone,93-55-0,Synthetic,,Sweet floral balsamic note
Benzophenone,119-61-9,Synthetic,,Balsamic sweet powdery note
Butyrophenone,495-40-9,Synthetic,,Sweet fruity balsamic note
Valerophenone,1009-14-9,Synthetic,,Fruity sweet balsamic note
Benzyl ether,103-50-4,Synthetic,,Balsamic sweet floral note
Tetrahydrolinalool,78-69-3,Synthetic,,Fresh floral citrus note
Dihydromyrcenol,18479-58-8,Synthetic,,Fresh citrus lime-like note
Dihydrolinalool,78-69-3,Synthetic,,Fresh floral refined note
Tetrahydrogeraniol,106-21-8,Synthetic,,Fresh rosy citrus refined note
Rhodinol,6812-78-8,Synthetic,,Rosy floral citronella-like note


